"","boot","coef_main","coef_interact"
"1",1,0.00020263319260865,-2.42925855790139e-05
"2",2,0.000612621737754611,-3.70818157730373e-05
"3",3,-5.334362561005e-05,1.43600035770142e-06
"4",4,0.000682954475512506,-5.41766067309625e-05
"5",5,-0.000161805538336202,1.14608234934897e-05
"6",6,3.51601015847414e-05,2.15356752627702e-05
"7",7,-0.000495305673837732,3.05815640290348e-05
"8",8,0.000648200643250977,6.44543317595957e-07
"9",9,0.0003591223650985,-3.85603125772687e-05
"10",10,0.000507311912005241,-3.81073966665076e-05
"11",11,-0.000152658849615315,3.65242848691663e-07
"12",12,0.000610923975400511,-2.77811777832025e-05
"13",13,-0.000278496899113692,2.95192237957256e-05
"14",14,-9.96472509379094e-05,-1.64459106963864e-06
"15",15,1.1960142496322e-05,-2.16654073258405e-05
"16",16,0.000754882251682661,-5.40033650209644e-05
"17",17,0.000843958137703641,-4.68833309044068e-05
"18",18,0.000633516776498579,-4.84446413611607e-05
"19",19,-7.61765816073176e-05,1.31015525676396e-06
"20",20,0.00133503107583838,-8.51388568396619e-05
"21",21,0.000135594302922894,-7.09539025387512e-06
"22",22,-0.000117313308857893,6.56146031943643e-06
"23",23,0.000345667635201609,8.15591492972982e-07
"24",24,0.000406379203987458,-3.84877238507579e-05
"25",25,-0.0001467920992464,1.21099804428548e-05
"26",26,0.000967382790591023,-4.32066736584373e-05
"27",27,-9.64626689652738e-05,3.91814547758698e-06
"28",28,-6.21763988340078e-05,1.69502854416247e-05
"29",29,-0.000291583896456335,1.81025923139014e-05
"30",30,0.000467219356778432,-4.26155627402786e-05
"31",31,0.000188643331680104,-1.97083043326809e-05
"32",32,0.000195629740474978,-6.81349253712281e-06
"33",33,0.000314788893830833,-5.33722520358192e-05
"34",34,-0.000110463582387595,1.71357505046691e-05
"35",35,-0.000584892018367665,4.34285831964158e-05
"36",36,-0.000549398574289434,2.0295243797718e-05
"37",37,0.000169952520532487,-4.32184535241805e-05
"38",38,0.000223969024984286,-2.75361967432037e-05
"39",39,0.000384575721412443,1.2687806331242e-05
"40",40,-6.10508464042843e-05,-8.49583695827841e-06
"41",41,-2.50011619491143e-05,1.43479090530141e-05
"42",42,0.000608788757104589,-3.44729521870673e-05
"43",43,0.000109957078660899,3.36949978427805e-06
"44",44,0.00035314012211115,-2.87989818179014e-05
"45",45,0.000364944073905299,-3.70585831904331e-05
"46",46,7.19137255247358e-05,-9.16355243209567e-06
"47",47,-0.000557534675346797,2.96699999098428e-05
"48",48,0.000549165534972012,-9.53057590379124e-06
"49",49,0.000462479432363044,-2.85714415846565e-05
"50",50,0.000175384032428742,-3.74121531514581e-05
"51",51,0.0012790441831239,-6.04506841892558e-05
"52",52,-0.000430003109357006,2.40618936985384e-05
"53",53,-0.000355303962216934,3.37596373224632e-05
"54",54,5.76897947053719e-05,-1.31305492476796e-05
"55",55,0.000500822162491036,-2.97635053970738e-05
"56",56,0.00018563004706721,-2.40351504089477e-05
"57",57,0.000332634935567156,-3.19380884775393e-05
"58",58,-0.0002312026170361,2.88917822285901e-06
"59",59,0.000279611150741111,-1.255009881516e-05
"60",60,8.66411781564192e-06,1.07417855858911e-05
"61",61,0.00044074405550424,-5.51803054620533e-05
"62",62,-0.000557535912173552,2.19001282146705e-05
"63",63,3.23961710929695e-05,-7.78673613827068e-06
"64",64,-5.72969024381493e-05,2.12578661922551e-05
"65",65,0.000344029395726574,-3.73035076853672e-05
"66",66,0.000381985586789063,-5.71662567113804e-05
"67",67,0.00120061913625576,-5.55876994735437e-05
"68",68,0.000319017862465574,-3.2457725247026e-05
"69",69,-0.000421762053160535,2.02011677926658e-05
"70",70,-0.000329383432618036,-1.49238949008647e-05
"71",71,-0.000603567737441922,4.85039779856469e-05
"72",72,-0.000286430551960837,1.90288688157666e-05
"73",73,0.000617503548564484,-4.03893215267147e-06
"74",74,6.90453455936325e-05,-4.90377859633534e-05
"75",75,0.000219690232734281,-2.32511657684485e-05
"76",76,0.000238109127908813,1.30967412653717e-05
"77",77,-0.000572602262848085,3.87235407067713e-05
"78",78,0.000328364328124846,2.74501028210483e-06
"79",79,0.000266597978496595,-3.66020374897247e-05
"80",80,1.97829242436031e-05,-5.303402398025e-06
"81",81,0.000153967589767758,-2.74448065919323e-05
"82",82,6.05114770001143e-05,-4.51903149165846e-06
"83",83,-0.000256509192605785,1.87060976188738e-05
"84",84,0.000472925800068684,1.41147019908249e-05
"85",85,-0.000286953094262068,1.65305722484122e-05
"86",86,0.00032662229435124,4.72029001932206e-06
"87",87,-6.64190631277409e-05,1.28391247320273e-05
"88",88,0.000522941872700525,-4.04486678775416e-05
"89",89,0.00105464100275498,-9.78765565404625e-05
"90",90,0.000175925337209571,-2.76317547284581e-05
"91",91,-5.67330519030031e-05,5.12639959297895e-06
"92",92,-0.000620538046460307,4.94090610062888e-05
"93",93,9.42100433762569e-05,-1.79974761533597e-05
"94",94,0.000204399426509034,-1.51085162595221e-05
"95",95,-0.000334276551889016,1.57732038844539e-05
"96",96,0.000306880520244194,-2.85829872105041e-05
"97",97,-0.000190430276979452,2.7975934081e-05
"98",98,0.000202107200758963,-1.8958052407196e-05
"99",99,4.57408473112974e-05,-2.72923272181046e-05
"100",100,0.000480646706345702,-3.7200220254552e-05
"101",101,2.00342034398917e-05,-1.90175548915189e-05
"102",102,0.000315834272259023,-2.91303905299046e-05
"103",103,-3.08728066230061e-05,2.64598753598367e-05
"104",104,-0.000324854054562595,1.74220625640613e-05
"105",105,0.000523710309961329,-1.70656413324498e-05
"106",106,0.000809563315202851,-3.64378621795323e-05
"107",107,0.000691096090499351,-5.36305982398728e-05
"108",108,0.00045921801470531,-1.51288218168845e-05
"109",109,0.000566924257129089,-4.10313237085825e-05
"110",110,0.000806380408927476,-4.37133138220305e-05
"111",111,-0.000181275758143273,7.42366122290626e-06
"112",112,0.000463037701036666,-5.91581450450095e-05
"113",113,-0.000245038505384085,7.29682755667115e-07
"114",114,-0.000185868825644396,-2.54631533136538e-05
"115",115,-0.000252864263182412,5.68551407933345e-06
"116",116,0.000102049861577288,-1.18127477179297e-05
"117",117,-0.000113015770729938,6.62670289181448e-06
"118",118,-0.000612201009249366,2.65863528297482e-05
"119",119,-0.000152824445013634,1.41836223407573e-05
"120",120,-6.02378088348829e-05,-3.01589690397028e-05
"121",121,0.000646981933955022,-5.69103821131001e-05
"122",122,4.65896625240864e-05,-3.67477248749328e-05
"123",123,0.00081643605778335,-7.05150642398539e-05
"124",124,5.16843093807362e-05,-1.14268225407098e-05
"125",125,-7.45686228183876e-05,2.31360616910043e-05
"126",126,0.000268290822857392,-3.38899733855039e-05
"127",127,-0.000460817513086847,6.90290940315127e-05
"128",128,0.000198197168759456,1.27730499757421e-06
"129",129,0.000312633899216621,-2.93483468743022e-05
"130",130,-0.00021673644803555,2.94761269698238e-05
"131",131,-0.000273818919272257,2.74991272395389e-05
"132",132,0.00010573813522009,-8.23609796089485e-06
"133",133,0.000586196515330667,-3.90086191832883e-05
"134",134,-0.00034329013020036,3.0514927355713e-05
"135",135,-0.000950958697450502,5.45351646217331e-05
"136",136,-8.79109767008206e-05,1.51539147933818e-05
"137",137,0.000657154329206193,-3.82068436398165e-05
"138",138,0.000817350169650316,-5.76859256230422e-05
"139",139,4.88169174383714e-05,-1.2263441098387e-05
"140",140,0.000268826796160413,-4.1521257510805e-05
"141",141,0.00100312202100353,-6.39071966674351e-05
"142",142,0.00095303179029836,-6.35121913552183e-05
"143",143,-0.000905811553344883,4.57913959888738e-05
"144",144,0.000360531042180884,-2.1772384597626e-05
"145",145,-3.59083285318709e-05,-3.52986475992911e-08
"146",146,0.000369387934925512,-2.4799671560612e-05
"147",147,0.00053085593185924,4.09750795402223e-06
"148",148,6.50327953518694e-05,8.4127530791018e-06
"149",149,0.000467211559694864,-2.25273337603957e-05
"150",150,0.00059189196957411,-2.8217776622897e-05
"151",151,-0.000517717324186104,4.97182608143524e-05
"152",152,6.21082297474145e-05,2.10240605328993e-05
"153",153,0.000362767689609322,-4.91983877584294e-05
"154",154,-0.000177508979683528,-9.6630222866642e-06
"155",155,0.000744035930477814,-1.78072567624883e-05
"156",156,-0.000210339898440252,1.05610770678891e-05
"157",157,0.000511200400849875,-5.40428341592323e-05
"158",158,-0.000564692155166349,4.06406329060942e-05
"159",159,0.000509528217865961,-1.00999645349992e-05
"160",160,-0.000188384727007825,6.75248401642753e-06
"161",161,0.000290585382667895,-9.70166308094338e-06
"162",162,0.00065498136063213,-4.09977722185446e-05
"163",163,-3.2679101689135e-05,-7.73973588869089e-06
"164",164,-0.000624786466506524,3.31833390285323e-05
"165",165,0.000700292947405977,-5.4644791056935e-05
"166",166,-0.0005769733962686,3.44381341361118e-05
"167",167,-0.00015620171406959,3.67956165801628e-05
"168",168,-0.000689486220551878,5.82495620070235e-05
"169",169,0.000585123109487715,-4.82559077090799e-05
"170",170,0.000303954766486128,-1.71496166236662e-05
"171",171,0.000399676802772247,-4.87967695610375e-05
"172",172,0.000352227736997094,-2.9169038428482e-05
"173",173,-0.000383143686130222,2.38936732506269e-05
"174",174,0.000663936403189886,-6.35586356183052e-05
"175",175,5.00269138216011e-05,-1.11627454893615e-05
"176",176,0.0008724435865371,-8.15907518627546e-05
"177",177,0.000983695672037991,-8.85591735380456e-05
"178",178,0.000569302626179986,-1.65332195760582e-05
"179",179,-7.0643303180138e-05,3.73634133310303e-06
"180",180,6.0514485910871e-05,-1.17039661304072e-05
"181",181,0.000142415988640951,-1.91979933001638e-06
"182",182,-0.000292839144723009,3.34225137224696e-05
"183",183,-0.000184436279148807,3.80466443882517e-05
"184",184,0.000139720462807866,-9.12119538997065e-06
"185",185,-0.000296970354908184,4.49319724269816e-05
"186",186,-0.000413869936352138,3.08347386889797e-05
"187",187,0.000145966332256856,-3.53495321134519e-06
"188",188,0.000575881367995121,-3.04158678313317e-05
"189",189,0.000638471018314773,-6.17054391650552e-05
"190",190,-0.000207424309570726,1.87442920704011e-05
"191",191,0.000270579293996054,-1.76151602663826e-05
"192",192,-0.000190532006377163,3.59255726833533e-05
