"","boot","coef_main","coef_interact"
"1",1,0.00107111612461507,-5.49787303315126e-05
"2",2,0.00125415336038335,-7.78540809288139e-05
"3",3,0.0012361835594643,-8.1085837142374e-05
"4",4,0.0011664426819495,-7.34809673342729e-05
"5",5,0.000902988567011908,-5.97865218589766e-05
"6",6,0.00114865806008475,-7.80713243362217e-05
"7",7,0.00120750620540595,-7.36114343591563e-05
"8",8,0.0010604472049419,-6.05135588156775e-05
"9",9,0.000921444310023706,-5.25281014979185e-05
"10",10,0.00122181121483337,-7.43853035074733e-05
"11",11,0.00114215003396801,-7.53882655664167e-05
"12",12,0.000934612091547612,-5.20406777538787e-05
"13",13,0.000973339197907227,-6.86282116785338e-05
"14",14,0.00119852803915402,-6.99390078876981e-05
"15",15,0.000793133989686374,-3.79871527394968e-05
"16",16,0.000944601775279954,-6.85641904421659e-05
"17",17,0.00102931093593313,-6.82211337680646e-05
"18",18,0.0011642665588189,-5.49631259206043e-05
"19",19,0.00132832941556496,-8.17428094470281e-05
"20",20,0.00125246314781145,-8.12602213590053e-05
"21",21,0.000959671829021073,-5.83575588764464e-05
"22",22,0.00139605823470683,-8.81898535653667e-05
"23",23,0.000994403259549628,-6.18348512466931e-05
"24",24,0.00130541068523612,-7.85943977730664e-05
"25",25,0.00107147577297189,-6.36231125040656e-05
"26",26,0.00100665605140165,-6.07351742383578e-05
"27",27,0.000945246328696499,-5.48567514012887e-05
"28",28,0.00150776556763085,-8.94566434030076e-05
"29",29,0.00111986169827838,-6.92638143705685e-05
"30",30,0.000862533102609641,-5.44543263665583e-05
"31",31,0.001091177719896,-6.90283429915276e-05
"32",32,0.00120534852366834,-7.91748612177667e-05
"33",33,0.00117009557775941,-7.56190525931501e-05
"34",34,0.000912200426085117,-5.30896388866656e-05
"35",35,0.00110897499784641,-6.69557287361301e-05
"36",36,0.000947924118388343,-5.36579572941444e-05
"37",37,0.00107242927774705,-7.2036817624948e-05
"38",38,0.00108261453423821,-7.40441732057729e-05
"39",39,0.00121579280871562,-6.74252094925757e-05
"40",40,0.00132269061841182,-8.67816785129586e-05
"41",41,0.00096809829822236,-6.21693939648619e-05
"42",42,0.00119306026141802,-7.36629139284665e-05
"43",43,0.00105694427253924,-6.36442415534475e-05
"44",44,0.00132173279255808,-8.28926881417296e-05
"45",45,0.000974973179242233,-7.219868439651e-05
"46",46,0.00096134493530887,-5.13744631333603e-05
"47",47,0.00102321526907761,-6.23575012566215e-05
"48",48,0.00126088884192869,-8.04938613997094e-05
"49",49,0.00124340022224541,-8.43141939920477e-05
"50",50,0.00110779249289466,-7.74674349577548e-05
"51",51,0.00107960492956156,-6.11271935720382e-05
"52",52,0.000955142888206335,-4.62888216833947e-05
"53",53,0.00101656248612486,-6.90029779517392e-05
"54",54,0.00105042951468354,-6.58439990158793e-05
"55",55,0.000898300670599066,-5.62827045584812e-05
"56",56,0.000965603857509603,-5.50720960219281e-05
"57",57,0.00104775596052063,-6.07455074009841e-05
"58",58,0.000956346022434878,-5.18421371575362e-05
"59",59,0.00094893450877188,-6.28709347675501e-05
"60",60,0.00102117656994875,-6.05362278342571e-05
"61",61,0.00115881051867858,-7.23361207422062e-05
"62",62,0.00101395677663471,-6.5079362532964e-05
"63",63,0.00117883160765767,-7.27310525971869e-05
"64",64,0.00119016698155758,-6.16831817754086e-05
"65",65,0.00102133271309141,-5.89475778221635e-05
"66",66,0.00113470266640344,-5.87140151454931e-05
"67",67,0.000890339581895622,-5.0123389014584e-05
"68",68,0.00101906423202071,-5.66920985420854e-05
"69",69,0.00106646387553824,-5.82227960822774e-05
"70",70,0.00108704974807754,-5.59752589951509e-05
"71",71,0.000931515670615219,-5.27903850545348e-05
"72",72,0.00123314724442318,-7.47227332183836e-05
"73",73,0.000981333357915149,-5.71338717444485e-05
"74",74,0.00085736573858395,-4.89080107461914e-05
"75",75,0.00114147730191549,-7.89262408612066e-05
"76",76,0.00106705694875695,-6.48990996580137e-05
"77",77,0.00104354013975148,-6.19478438074801e-05
"78",78,0.0011210700337739,-6.53176550225142e-05
"79",79,0.00112947467501886,-7.08131386111371e-05
"80",80,0.0014486959982412,-8.6247425940261e-05
"81",81,0.00121329850676113,-6.97064702586311e-05
"82",82,0.000844674647859867,-5.27306488354172e-05
"83",83,0.000883479063939594,-4.78998040514001e-05
"84",84,0.00106432982603134,-5.9896434745277e-05
"85",85,0.0009604948830159,-6.44407396800497e-05
"86",86,0.00100006736004468,-6.74639661774699e-05
"87",87,0.00107672746694742,-6.31704348797623e-05
"88",88,0.000988477710571722,-5.79289773305772e-05
"89",89,0.00121144425781992,-6.58028053295785e-05
"90",90,0.00135457693659343,-7.97448141854934e-05
"91",91,0.000785585562218522,-5.37290477388628e-05
"92",92,0.00117306847348473,-7.56912396072322e-05
"93",93,0.00101697522692718,-5.73525920226339e-05
"94",94,0.00127137728599704,-8.59456603765572e-05
"95",95,0.00113791889195119,-7.44114374543162e-05
"96",96,0.000964920094162658,-6.36719738357987e-05
"97",97,0.00100269605709375,-5.89439083554814e-05
"98",98,0.000997194306007535,-5.15658097854698e-05
"99",99,0.000967767155416838,-5.45924577910561e-05
"100",100,0.00109695373973773,-6.44113220614965e-05
"101",101,0.00132301473083525,-8.28580906085754e-05
"102",102,0.00125479389462669,-7.37915826181747e-05
"103",103,0.00111185857711934,-7.32065972695841e-05
"104",104,0.00116832352175803,-6.24412973271707e-05
"105",105,0.00131985373982981,-8.11301340099984e-05
"106",106,0.00118579618291602,-7.18527383861751e-05
"107",107,0.00133716534738045,-7.89410338131891e-05
