"","boot","coef_t","coef_t2"
"1",1,-0.000382820024269865,-0.000523021122882524
"2",2,0.00542798280970068,-0.000254849269450041
"3",3,0.00901277338552557,-0.000406827320151512
"4",4,0.00689513018062868,-0.000251893050421302
"5",5,0.00528208660169128,-0.000171218832098495
"6",6,0.00928731705418105,-0.00015414754825368
"7",7,0.00361052960567431,-0.000223322989814831
"8",8,0.00725893446773295,-0.000365212030557328
"9",9,0.00250902062689878,-0.000311404613870716
"10",10,1.9946324881308e-05,-0.000261408063958714
"11",11,0.00379653361060426,-0.000205783397577957
"12",12,0.00886987328618774,-0.000369379884534102
"13",13,0.0111395404739954,-0.000316988803946564
"14",14,0.000317801261415954,-9.68620141249692e-05
"15",15,2.8929387843175e-06,-0.000379318922938342
"16",16,0.0128202216553724,-0.000266000695697872
"17",17,0.00577936081203037,-0.000255605510335656
"18",18,0.00547981437484998,-0.000411086270957612
"19",19,0.00598799560471704,-0.000177961879108461
"20",20,-0.00250231122707146,-0.000201304859770779
"21",21,0.0062007854393549,-0.000223412964743686
"22",22,0.00685657019858442,-0.000305638588960619
"23",23,0.00234343562153239,-0.000229548019339625
"24",24,0.000613077234199227,-0.000261092579382011
"25",25,0.00400630590303823,-1.10175360282889e-05
"26",26,0.00365046455522623,-0.000140555018733775
"27",27,0.0051021365436216,-0.000131196732761332
"28",28,0.00742915504399237,-0.000203433368890429
"29",29,0.00731210746109716,-0.00029803541409646
"30",30,0.000213476469688296,-0.000260541977739196
"31",31,0.00152837709236312,-7.57787514967386e-05
"32",32,0.0027948206882139,-3.08137396672173e-06
"33",33,0.00279820463078222,-0.00039223236115522
"34",34,0.00531668396019709,-0.00027041190462162
"35",35,0.0110178037665832,-0.00037124287588821
"36",36,-0.00526921669824603,-0.000150678184090026
"37",37,0.00669570815198374,-0.000386497842822242
"38",38,0.0134951748386501,5.36875928938918e-05
"39",39,0.00080021667226957,-0.000152194203367907
"40",40,0.00784837400224001,-0.000267754155541137
"41",41,0.00326141289689389,-0.000141969394926809
"42",42,0.00902646134824529,-0.000340981079509682
"43",43,-0.00291412257115484,-0.000308661630792579
"44",44,0.0051683822097876,1.43050579722258e-05
"45",45,0.00924528128892982,-0.000251354470315836
"46",46,0.000730278905732467,-0.00028215310353703
"47",47,0.00338824262841436,-0.000395290308472631
"48",48,0.00861926437854585,-0.000419589419899923
"49",49,0.0118395999270242,-0.000386573230125564
"50",50,0.00219085668930455,-9.66313504110703e-05
"51",51,0.00594105167227789,-0.000279346465982747
"52",52,0.00499540663820859,-0.000257655410349077
"53",53,0.00481576800329678,-0.000160857343505942
"54",54,-0.000234049129598347,-0.000154517307628652
"55",55,0.00463253827568809,0.000153473746541748
"56",56,0.00596030094703182,-0.000277832870584587
"57",57,0.00857999687237565,-0.000203588153210863
"58",58,0.00217784426289073,-8.44882153181259e-05
"59",59,0.00334100938040658,-0.000267822874465236
"60",60,-0.00227903225451128,-0.000400458224304652
"61",61,0.00691271927210915,-0.000313099157147738
"62",62,0.00183833979945731,-3.5150529243778e-06
"63",63,0.00184747457865447,-0.000308651959333539
"64",64,0.000414254097690077,-0.000310024910852781
"65",65,0.0033896124438897,-0.000411226758252329
"66",66,0.00589381913195893,-0.000333781221419714
"67",67,0.00218644752742894,-0.000110391154078672
"68",68,0.00285946229524378,-0.000403633431077781
"69",69,-0.00147158834600035,2.53670420265883e-06
"70",70,-0.00258993005754397,-0.000232678125165641
"71",71,0.00722119583172185,-0.000234181034264773
"72",72,0.00414175144288178,-0.000223401785881338
"73",73,0.00770672697799214,-0.000270813782816772
"74",74,0.00687601504623619,-0.000554999838071856
"75",75,0.00346396117648343,-0.000341593829432927
"76",76,0.00374575514398931,-0.00041033889548588
"77",77,0.00428861817669735,-0.000484651087140896
"78",78,0.00146950664507325,-0.000125381691906871
"79",79,0.00731489544146968,-0.000193529185043478
"80",80,0.00771524741423204,-4.14333887890072e-05
"81",81,0.00018346527694157,2.47911940101995e-05
"82",82,0.00442387100323069,-0.000332763649247324
"83",83,-0.000967482013074166,-0.000105799456731917
"84",84,0.0026248835886453,-0.000155273761789258
"85",85,0.00210740346223581,-0.000188361509741734
"86",86,-0.00164730447862583,-0.00046973557115602
"87",87,0.00422355053500433,-0.000222220514277939
"88",88,0.00615626087006255,-0.00049664101398761
"89",89,-0.00464089013957786,-5.10436551324045e-05
"90",90,0.00142817172737643,-0.000406140728979301
"91",91,0.00686646039821051,-0.000272990225765079
"92",92,0.0111447508977893,-0.000204907402103247
"93",93,-0.00207267811489404,1.12445554744217e-05
"94",94,0.00816719428703763,-0.000126300572203214
"95",95,0.00892411834632301,-0.000277915255712849
"96",96,0.00702979022362857,-0.000259373079237451
"97",97,0.00724692507026478,-0.000487239298221761
"98",98,-0.00450661003933846,-0.000126240707047971
"99",99,0.0068014605035559,-0.000475550655420864
"100",100,0.00401030575238587,-6.03432231526082e-05
"101",101,0.0100804739751638,-0.000115354567913694
"102",102,0.00554410100868835,-0.000399038298916551
"103",103,0.00683728002240901,-0.000277720989117705
"104",104,0.0062757682634505,-0.000234015246042096
"105",105,0.000363896636362622,-0.000148444543522323
"106",106,0.000576718806548064,-0.000206516034905882
"107",107,0.00343192521747035,-0.00022362852387844
"108",108,-9.14105337931118e-05,-0.000256919966261905
"109",109,0.00906462314991033,-8.9618116925511e-05
"110",110,-0.0010370060419172,0.0001038591924327
"111",111,0.00811084717400699,-0.000406550106001781
"112",112,0.00538004252860601,-0.000260868285776963
"113",113,0.0127162721206541,-0.000157731773813497
"114",114,-0.00313994047147505,-0.000126021270791522
"115",115,0.00624948324357645,-0.000137929414152605
"116",116,-0.000850881689323868,-0.000189466002438594
"117",117,0.00111395038451613,-0.000445315151335803
"118",118,0.00639052721798186,-0.000372872014736567
"119",119,0.0125490259105434,-0.000505256210161675
"120",120,0.00558800661249549,-4.47253122701315e-05
"121",121,0.00509603483838378,-0.000330449575974047
"122",122,0.0037901734120829,-2.2357393579225e-05
"123",123,0.00404105901805828,-0.000719610723708957
"124",124,0.0095058369545652,-0.000451222697712302
"125",125,0.00547753840110835,-0.000180647827419257
"126",126,0.0062625630115595,-0.000190700015599103
"127",127,0.00420817755990489,-0.0002587595600475
"128",128,0.00351712961796139,-0.000150174205714089
"129",129,-0.000110456038498307,-0.000171835513741471
"130",130,0.00427323329686024,1.9076824911137e-07
"131",131,0.00209189680965956,-0.00028201132234276
"132",132,0.00101104576326205,-0.000327196317488188
"133",133,0.00176000625623745,1.21898236494428e-05
"134",134,0.00389853405997175,-0.000157309508880542
"135",135,0.00517904193862261,-0.000318643101529994
"136",136,0.00672119003834152,-0.000284536014888401
"137",137,0.00714651116527012,-1.70944505662397e-05
"138",138,0.00673196883252798,-0.000433051528885053
"139",139,-0.00150309834372019,-0.000111292590313402
"140",140,0.00892360677198185,-0.000354052926715609
"141",141,0.00222381970529997,-0.000364409204785622
"142",142,0.00561942820160967,-0.000240354998734316
"143",143,0.00147544487186243,7.0228590165385e-05
"144",144,0.00871561441179553,-0.000401723324196879
"145",145,0.000478822918766004,-0.000414598474999352
"146",146,0.0082415615881281,-0.000325764125963087
"147",147,0.00707787411615413,-8.21762918754759e-05
"148",148,0.00610554854319525,-0.000483122039092166
"149",149,0.00436326172391583,-0.000115385472436836
"150",150,0.0056620746514335,-0.000553599710000425
"151",151,0.00936414596327353,-0.00030212205694661
"152",152,0.00420876401560639,0.000108949060015387
"153",153,0.00373832468538698,-5.4042028283843e-05
"154",154,0.0054708970829409,-0.000350266614106215
"155",155,0.00857965272047056,-0.000117645221324354
"156",156,0.00375991638459733,3.78401297490184e-05
"157",157,0.00808919585612004,-0.000210605268449321
"158",158,0.0063495832419248,-0.000189830850654931
"159",159,0.0025106601427378,-9.37054896248508e-05
"160",160,0.00438007192655259,-0.000324245553851475
"161",161,0.00773687758792229,-0.000263854706886957
"162",162,0.00405024438149418,-0.000115473126474267
"163",163,-0.000659060079478205,-0.000221207372278899
"164",164,0.00401520394493756,-0.000304750539245174
"165",165,0.0032116071196093,-0.00024184521563456
"166",166,-0.00139660861808287,-0.000131989951412931
"167",167,0.00505717830560259,3.91777446426262e-05
"168",168,0.00796992766349609,-0.000260113179490971
"169",169,0.000979331121645289,5.06490477388537e-05
"170",170,0.0027006265965656,-0.000183456848553276
"171",171,0.0119843863381801,-0.000334885338297823
"172",172,-0.000629164293980845,-0.000152369481548024
"173",173,0.010116627043867,-0.000520162245295307
"174",174,0.00412892229387317,-0.000590926210366564
"175",175,0.0034624981921429,-0.000202418686980005
"176",176,0.00607481626793019,-0.000283495529673458
"177",177,0.00450806774149942,-0.000404216201084484
"178",178,-0.00112670187368421,-0.000199864281622221
"179",179,-0.0018654793289443,-0.000178235876460857
"180",180,0.00317876309150219,-0.000142514777179942
"181",181,0.0021694926195455,-5.03805300665508e-05
"182",182,0.00487359698731491,-0.000393142799279645
"183",183,-9.93300297278688e-05,-0.000425584033769361
"184",184,0.0107191198078151,-0.000222473634938293
"185",185,0.00603721486149928,-0.000447083758198089
"186",186,0.00157044731485588,-0.000258930126296693
"187",187,0.00895483733569483,-0.00021736663370532
"188",188,0.00354470632470685,-0.000403038287771418
"189",189,0.00572900933525628,-0.000526595977850297
"190",190,0.00465846060335738,-0.00023562679249129
"191",191,-0.00236560497890194,-0.000175068578424685
"192",192,0.00229137520430919,-0.000289171383485419
"193",193,0.007105177834474,-0.000340599752562389
"194",194,-0.00383185922417501,-1.52223489017971e-05
"195",195,0.00475851073840796,-0.000202941560817503
"196",196,0.00649677064066349,-0.000346257437451678
"197",197,0.00582229387534562,-0.000494112241410098
"198",198,0.00465305988815096,-0.000234235336068401
"199",199,0.00192381394277633,-0.000240084720198118
"200",200,-0.00163115851418962,-0.000427530674571796
"201",201,0.000453945961470237,-0.000231149180908459
"202",202,0.00387941540380708,-0.000309477120994941
"203",203,0.00664549950262986,-0.00040019880620443
"204",204,0.00993044489274728,-0.000600167501996597
"205",205,0.0122339290126382,-0.000224392239196
"206",206,0.0090359389091648,-0.000197769520001637
"207",207,-0.00357092694158979,-0.000201132377081835
"208",208,0.00599850641146104,-0.0002060150148026
"209",209,0.00136131952378951,-0.000209701667684551
"210",210,0.000815294927827791,-0.000413395918793149
"211",211,0.00529423660208134,-0.000210849281849991
"212",212,0.0026526927249809,-0.00033488881519808
"213",213,0.00812135748283299,-0.000568238858801091
"214",214,0.00497341011030377,-0.000321271529039529
"215",215,0.00300676490551401,-0.000201944209271819
"216",216,0.00186417188512478,-6.19110639224247e-05
"217",217,-0.00130214783831714,0.000208713016231954
"218",218,0.0101915024923922,-0.000126428232302783
"219",219,0.00129232656593387,-0.000425248786886989
"220",220,0.00615582009504182,-0.000352449543886226
"221",221,0.00182646913169168,-0.000111360414907996
"222",222,0.00903451822298933,-0.000361445188964353
