"","boot","coef_main","coef_interact","aic","adj_r2"
"1",1,0.00441997568372256,-0.000305763205843595,-9258.41476108594,0.198345342012455
"2",2,0.00712767135426347,-0.00043560244512817,-10986.9943295274,0.179884847320775
"3",3,0.00813858326586903,-0.000624216570656444,-17488.6295140731,0.194810801355453
"4",4,0.0087960901194968,-0.000694319154721839,-13116.8743281707,0.189308922965729
"5",5,0.00721849924491964,-0.000420091350904177,-9416.77410618801,0.17912828467898
"6",6,0.00890868515856022,-0.000540432342476619,-12433.5177935279,0.167370472079463
"7",7,0.00964350863210238,-0.000720163032926761,-12678.2730176423,0.183207579488626
"8",8,0.00592568101994487,-0.000472794764982338,-11958.9604651783,0.175587271488864
"9",9,0.00729441127341683,-0.00048356043003513,-17858.0685434731,0.197329015888765
"10",10,0.0051496352085021,-0.000201810740606177,-16340.0866826382,0.174657049767652
"11",11,0.00662220291141343,-0.000431910107552281,-15723.0960883898,0.184246255727732
"12",12,0.00504530378850359,-0.000339866104758506,-16943.4250055211,0.206235717181732
"13",13,0.00816262188901404,-0.00047119565203981,-8147.91916750219,0.153072649208308
"14",14,0.00854379774267998,-0.000551066458540999,-11644.8649418341,0.178711405934531
"15",15,0.00532565800484026,-0.000287017370141155,-18908.2600327787,0.202349983761942
"16",16,0.00843201575233102,-0.000761728422327424,-10706.0386949604,0.185743032690907
"17",17,0.00621949065885127,-0.000483787548254555,-12713.7184178818,0.185414737913941
"18",18,0.00599140435732413,-0.000409311832786008,-18036.6861740802,0.222036739250504
"19",19,0.00760763255135463,-0.000460319958747002,-10123.6530183072,0.158466941766128
"20",20,0.00797584885745367,-0.000613506433870633,-11032.4654911338,0.176766796159319
"21",21,0.00718855736049248,-0.000643166443366606,-8323.50823100109,0.149844040127937
"22",22,0.00902486466176184,-0.00068406376026452,-12162.2466305085,0.182281050196257
"23",23,0.00964365286890561,-0.000520343680443021,-7395.03209546748,0.158377872416843
"24",24,0.00842434162673143,-0.000601027830733253,-13968.7689771151,0.186287365532875
"25",25,0.00926101142424526,-0.000580439043633022,-9247.74595313226,0.15459655670294
"26",26,0.00648515171112126,-0.000469101279440649,-13930.7991484528,0.183562175455862
"27",27,0.00936248015785846,-0.000684571359293688,-14009.4840917685,0.175701109310198
"28",28,0.0110990780770185,-0.000884647196204101,-18877.0022336859,0.211135247781607
"29",29,0.00454144721086529,-0.000234143061651084,-17261.4092349096,0.196854552179945
"30",30,0.00695604967126152,-0.00049691733324244,-10046.7350638537,0.154474700735502
"31",31,0.00654251461818485,-0.000523832035868798,-18410.9090987442,0.194980330934613
"32",32,0.00964885942870299,-0.000689395399214474,-20817.8224262795,0.22375948736888
"33",33,0.00849650799406421,-0.000433378130252449,-18479.5046477418,0.19777855609592
"34",34,0.00673032381471284,-0.000474539791659275,-14677.4558728375,0.230526269198091
"35",35,0.00801580334014307,-0.000616474982505989,-12373.9594888817,0.17217759177483
"36",36,0.00571997238368871,-0.000288192634794629,-14346.6443271884,0.166209558801757
"37",37,0.00629020087787698,-0.000509472738665005,-13218.0148721092,0.166257979414268
"38",38,0.0109911100897633,-0.00077362802218758,-7533.81341827166,0.154838556613711
"39",39,0.00800541027546701,-0.000500146305111299,-14811.2469558645,0.205245512709394
"40",40,0.00771585733469115,-0.000598269693723757,-12101.0778414599,0.179369375576445
"41",41,0.0086343138275245,-0.000513776225501346,-12242.1588004389,0.176263453605337
"42",42,0.00803722079541526,-0.000622653404750189,-12394.5814783792,0.167755011574766
"43",43,0.00529573118042691,-0.000307391459218213,-14865.5895903301,0.179253360516373
"44",44,0.0110003997858876,-0.000815792551059443,-18472.6503357414,0.198788864653321
"45",45,0.00943407471206001,-0.00087068795564085,-12272.9390998254,0.169721909910319
"46",46,0.00658596790662203,-0.000331528481557144,-13212.8979104489,0.185972639475414
"47",47,0.00674834772035978,-0.000460793803189449,-15123.3159091544,0.178921371763021
"48",48,0.00940169869146128,-0.000740828172100136,-11741.5386711638,0.163539832608205
"49",49,0.00958111214646314,-0.000803185711188904,-10738.8916219915,0.15810218162349
"50",50,0.00765803168827706,-0.000393975195885976,-10073.7705001779,0.14513171686078
"51",51,0.0068534367264478,-0.000420069089853317,-5572.16151698919,0.162027831459584
"52",52,0.00726857147260899,-0.000504635848551297,-14186.5312172052,0.185631904394873
"53",53,0.00854246435334243,-0.000563663635684139,-19157.1634721418,0.200948251495669
"54",54,0.00809498681582588,-0.000508331670850661,-12259.2128194427,0.167091756890875
