"","boot","coef_var","coef_interact"
"1",1,-0.116485079049136,0.00225216581618504
"2",2,-0.12972964501769,0.00255673017966091
"3",3,-0.110370532521166,0.00240670571354039
"4",4,-0.0684525257878461,0.000707412354627464
"5",5,-0.113296568726326,0.00237183685655137
"6",6,-0.123483211217726,0.00259325315891089
"7",7,-0.121328794851911,0.00238400595629874
"8",8,-0.0925479059128484,0.00119895392419889
"9",9,-0.124796882691185,0.00225120330594522
"10",10,-0.131423676745796,0.00283682684026635
"11",11,-0.115059118213018,0.00225348734782596
"12",12,-0.0996060368456585,0.00192936693078684
"13",13,-0.11123418683078,0.00177339881265693
"14",14,-0.117672298118688,0.00245861015868693
"15",15,-0.0929058397743059,0.00164339296651481
"16",16,-0.129045909935949,0.00265516437917258
"17",17,-0.133858673545987,0.00316535310195071
"18",18,-0.0956069790566555,0.0011624485327188
"19",19,-0.13381792036187,0.0031309867626823
"20",20,-0.112750738633616,0.00209151160645815
"21",21,-0.122458325616711,0.00236760521665048
"22",22,-0.12828640100014,0.00268598787066564
"23",23,-0.128143070217369,0.00271052399460275
"24",24,-0.120344411846955,0.0024319206377657
"25",25,-0.131121860325244,0.00307947238748762
"26",26,-0.135894870649252,0.00326244767039435
"27",27,-0.0939526572672743,0.00112710015477318
"28",28,-0.107001226177172,0.00181088498557087
"29",29,-0.137779546859231,0.00333697053355677
"30",30,-0.120376257765489,0.00221076622227449
"31",31,-0.0944341286090356,0.00163952428279342
"32",32,-0.0892535743463699,0.00123567188513111
"33",33,-0.121089307367342,0.00255835850250833
"34",34,-0.104063771541577,0.00194591388918222
"35",35,-0.115384014344608,0.00229245475671446
"36",36,-0.115570850176423,0.00237796260797289
"37",37,-0.112673144180586,0.00243660508645635
"38",38,-0.125121826261724,0.00242921854139
"39",39,-0.118760089001593,0.00252017896772558
"40",40,-0.15023928262785,0.00339151607602264
"41",41,-0.130763277832088,0.00251245742976351
"42",42,-0.112867471746827,0.00228906546748569
"43",43,-0.129695353319961,0.00288482091035023
"44",44,-0.0914018383281022,0.00128459222708982
"45",45,-0.108042994384439,0.00204921647842088
"46",46,-0.135272046886213,0.00291909193589819
"47",47,-0.0875265385878217,0.00105864773492781
"48",48,-0.11136020834937,0.00210823867835692
"49",49,-0.134164598581001,0.00307248849063479
"50",50,-0.122125275463053,0.00247743269792108
"51",51,-0.118763942012463,0.0025499564382594
"52",52,-0.086491607660779,0.00131852745905832
"53",53,-0.105180508199255,0.00237227483889984
"54",54,-0.105496119180036,0.00234042346935558
"55",55,-0.115333653480067,0.00234428273939325
"56",56,-0.150213492911839,0.0037031608751347
"57",57,-0.118700947675595,0.0022605246082794
"58",58,-0.109514974792857,0.00243630038751874
"59",59,-0.107704380439567,0.00207320667802951
"60",60,-0.14379752066086,0.0034723587113599
"61",61,-0.119834625855597,0.00243198295879248
"62",62,-0.124447805057844,0.00233621077296165
"63",63,-0.108591959491925,0.002141278580128
"64",64,-0.141823425062408,0.00343964888307268
"65",65,-0.131799453831886,0.00303161973877767
"66",66,-0.114486709046275,0.00199535438502912
"67",67,-0.0954385790762677,0.00171884816425205
"68",68,-0.117309397774143,0.00238927077980395
"69",69,-0.118732622182848,0.00226543546303885
"70",70,-0.113564824216368,0.00214701072581503
"71",71,-0.132801362852778,0.00288499121606298
"72",72,-0.112138958235749,0.00227912416407516
"73",73,-0.105737344323947,0.00177743540817158
"74",74,-0.117601672909695,0.00191632402962138
"75",75,-0.105041988117286,0.00221336945955568
"76",76,-0.125995525755008,0.00263653426386828
"77",77,-0.101100352306437,0.00187476155841399
"78",78,-0.113009269185834,0.00213889995921485
"79",79,-0.0949839240516952,0.00151910553930083
"80",80,-0.116786087088449,0.00257929457539291
"81",81,-0.0931847302938128,0.00147121216587594
"82",82,-0.121873209858059,0.00257413093315263
"83",83,-0.101016488865655,0.00176047103720484
"84",84,-0.0953037052557267,0.00134075093519909
"85",85,-0.12517848251314,0.00278306471662464
"86",86,-0.128654165907548,0.0026875886308289
"87",87,-0.12255298566694,0.00271171097703452
"88",88,-0.134996775897975,0.00322248907491966
"89",89,-0.114395112398834,0.0021281590930027
"90",90,-0.141839812750213,0.00314720862805017
"91",91,-0.121639327120763,0.00268346737237156
"92",92,-0.140377251205539,0.00312597897877224
"93",93,-0.0995641161335737,0.00171305087936862
"94",94,-0.130117579017891,0.00270933426767541
"95",95,-0.109437779412895,0.00225995850016298
"96",96,-0.0860002069069475,0.00131482003052155
"97",97,-0.125956514415895,0.00286393039139239
"98",98,-0.0899383261670372,0.00142945843344873
"99",99,-0.134032658873763,0.00307628629662687
"100",100,-0.113360910904791,0.00228492728502826
"101",101,-0.124373982261678,0.00273280868553586
"102",102,-0.120558634747212,0.00248625544224186
"103",103,-0.109558717340338,0.0020010919733209
"104",104,-0.122355578456697,0.0030445864159472
"105",105,-0.124812677546378,0.00289868520038747
"106",106,-0.114838360094111,0.00288679754257088
"107",107,-0.101772056285598,0.00167277290195984
"108",108,-0.106129659319221,0.00169592016917017
"109",109,-0.0844470838996711,0.000859989384129323
"110",110,-0.125683318451006,0.00295351368861371
"111",111,-0.119222584143684,0.00244725237265583
"112",112,-0.0954023592446852,0.00161727812967181
"113",113,-0.117067975887108,0.00268145715926483
"114",114,-0.108290735210616,0.00226316929245124
"115",115,-0.11147108423409,0.0024514772715649
"116",116,-0.106055785310375,0.00166257790050088
"117",117,-0.115174584484936,0.00236800105871701
"118",118,-0.0924789502573912,0.00122699433758025
"119",119,-0.125252937298751,0.00302279215609856
"120",120,-0.118288247498839,0.00265223044416882
