"","boot","coef_main","coef_interact","aic","adj_r2"
"60",60,0.0048799823401409,-0.000222521498070908,-4772.00857914702,0.157961279631757
"61",61,0.00960497467308453,-0.000688574112235713,-4891.56293651519,0.140558840727829
"62",62,0.0101383017326718,-0.000723829965766194,-7682.4148894092,0.141360241969433
"63",63,0.0107018226490571,-0.000719956225032252,-15134.7229382325,0.198907458527303
"64",64,0.00954814968192968,-0.000427123395353426,-10377.6405744869,0.180773455186142
"65",65,0.00687336276608964,-0.0003721333361538,-16515.3220096084,0.190206593439004
"66",66,0.00716594355520598,-0.000523332694546876,-20310.8003635459,0.218754095810424
"67",67,0.00924628393984687,-0.000716827789141471,-11558.6415559736,0.191586842448218
"68",68,0.00859414561278698,-0.000623024406548438,-13464.3812903439,0.186917241889546
"69",69,0.00835126623668559,-0.000633482199583029,-17748.4710395392,0.21795303572561
"70",70,0.00769349718173139,-0.000429754500731031,-13663.4829783667,0.165540400741688
"71",71,0.00656094237229746,-0.000467509959298829,-7449.27713348246,0.156250181491357
"72",72,0.0114145168103785,-0.000839867486607442,-11562.4088699521,0.175323724551784
"73",73,0.00890881697446198,-0.000644054128204327,-15117.571250815,0.190067441786163
"74",74,0.0105245130053146,-0.00081471289249374,-4564.34876389172,0.133013898306834
"75",75,0.00895521669333291,-0.00069452584012986,-13205.412932582,0.176529539535321
"76",76,0.00944532211312746,-0.000691638884664242,-14289.8946358099,0.200954372275112
"77",77,0.00762312251336716,-0.00050596475082429,-16539.7270559317,0.181744477945447
"78",78,0.0106624951899404,-0.000638912578365556,-23072.2161546279,0.239946054523039
"79",79,0.00930271128779424,-0.000614646293526218,-12323.9055588311,0.16054723338923
"80",80,0.0107692562321985,-0.000712899445992252,-11086.5460812908,0.186781526812689
"81",81,0.00918475703647589,-0.000639590380855291,-18810.6261356717,0.229351109512297
"82",82,0.0082521584091447,-0.000659770860311523,-15777.352995725,0.180329016014042
"83",83,0.00999477216758821,-0.000683042667542915,-23237.9545293888,0.227546795533473
"84",84,0.0100880251769347,-0.000769794973907864,-20477.2962361495,0.203107158567905
"85",85,0.0099589428182802,-0.000701617470775454,-11565.1474754199,0.162377867229972
"86",86,0.00466739434630274,-0.000348816231097023,-15933.0160760706,0.199681097721892
"87",87,0.00894861228878151,-0.0005713335383053,-15809.6759492786,0.185677815792603
"88",88,0.00790371589307107,-0.000502732252891477,-9335.55521540012,0.154782500942505
"89",89,0.00692702873849156,-0.000392693417539075,-19828.9097460858,0.192784688389118
"90",90,0.00733287603220943,-0.000546106904547969,-13874.4219776465,0.214508258077958
"91",91,0.00818856037129399,-0.0006311925051316,-11402.862444593,0.158579735377485
"92",92,0.0124646576979243,-0.000955459875118666,-8107.79068561677,0.141902736044499
"93",93,0.00798166962458825,-0.000518866788549458,-20230.6678154181,0.200034964888286
"94",94,0.00795888055700705,-0.000642745848235281,-13186.8974216505,0.209157232504909
"95",95,0.00953662158547998,-0.000729781975276247,-16993.6532773722,0.204379743200103
"96",96,0.00842468813396876,-0.000743772039017182,-17783.7559773307,0.190989354949076
"97",97,0.0087332366121579,-0.000587761747135832,-12437.2676783542,0.169418851778983
"98",98,0.00832907360871975,-0.000467111443105888,-17266.4693003523,0.217562300668397
"99",99,0.00893823606307451,-0.000682449723727466,-14334.5537949592,0.174242510562222
"100",100,0.0120700369215887,-0.000832458417021762,-16577.1807033363,0.189518938820654
"101",101,0.0102210607210386,-0.000832328318139654,-7938.13664768585,0.169181468422382
"102",102,0.00522430734480584,-0.00043638497964098,-20835.6965506875,0.227968363731711
"103",103,0.0104380514839298,-0.000741973453379802,-11843.3423208317,0.164736555099195
"104",104,0.0080041204462086,-0.000579203759909848,-15219.0125344507,0.190294395881476
"105",105,0.00693406665360762,-0.000370293178464369,-13219.086724086,0.188059726711285
"106",106,0.00819271320944394,-0.000560539642859284,-15707.3337173328,0.193524789826656
"107",107,0.0103914723966705,-0.000693720273541598,-18657.5158028047,0.209273732506392
"108",108,0.00757288787540584,-0.00047121924469939,-13878.7419552433,0.177267683374277
"109",109,0.0102125652065332,-0.00079704727519642,-9489.41629137828,0.169734553941745
"110",110,0.0109684286873545,-0.000713341071424967,-23109.3898193963,0.231774107657635
"111",111,0.00708947310057303,-0.00053436120306358,-17664.212674571,0.198261327706428
"112",112,0.0084733702829209,-0.000523413754491041,-16396.4363551344,0.230198292005036
"113",113,0.0106660970671061,-0.000817874604703906,-17670.1278607288,0.213497654246286
"114",114,0.00852807064330538,-0.000585024227858041,-15964.7927553249,0.21163861385217
"115",115,0.0127290119468784,-0.000924166980213803,-15814.3914091431,0.21416053902199
"116",116,0.00897116472435807,-0.000593219718343973,-12242.7449979699,0.179858411467011
"117",117,0.00811365689161319,-0.000495739916652126,-12398.5299582045,0.179504001972142
"118",118,0.00971839003013536,-0.000620480820920287,-13274.5000339921,0.187501998957163
"119",119,0.00978441427285402,-0.000853823348351091,-9585.45028224599,0.164308337365928
"120",120,0.010309438120675,-0.00078680376511027,-14465.3388462553,0.174856586098111
"121",121,0.00754081113376955,-0.000597128376239155,-13827.8426320585,0.181421528362319
"122",122,0.00829138407736976,-0.000551723145655478,-16278.0302071529,0.206130393093748
"123",123,0.00636206641666366,-0.000477761539355349,-13324.7513925132,0.222328517340019
"124",124,0.00814759095315411,-0.000557302673471127,-16392.4948242988,0.172739217390432
"125",125,0.00927980708966979,-0.000623832622655701,-18684.6895255641,0.202114459128294
"126",126,0.0097462712428786,-0.00065657236961683,-13671.2517887039,0.164832664887646
"127",127,0.00770136880089248,-0.000635065087601048,-12538.2568887834,0.209104092623746
"128",128,0.00654891629772482,-0.000525004444915053,-17361.0688077782,0.212666987759444
"129",129,0.00985174428945096,-0.000663252332627776,-13719.9734895871,0.170066312476133
"130",130,0.00825681708071494,-0.000617379423375769,-8482.75394355087,0.13904619917828
