"","boot","coef_main","coef_interact"
"1",1,0.00972397027303538,-0.000615152034778781
"2",2,0.00983574147080821,-0.000642236209280631
"3",3,0.00779039840937669,-0.000587435712895337
"4",4,0.00698802800248191,-0.000394364943689982
"5",5,0.00887706325040172,-0.000623644160993642
"6",6,0.00860083964264399,-0.000609757610435903
"7",7,0.00837229375157796,-0.000578287429000819
"8",8,0.0104176839245464,-0.000623471772725247
"9",9,0.0117350730235583,-0.000986224853180231
"10",10,0.00903326646507132,-0.000751961457576192
"11",11,0.00806441610946516,-0.000476500253413473
"12",12,0.0100513686367973,-0.000759081277568037
"13",13,0.0105733432577959,-0.000720104827957981
"14",14,0.00758000934665461,-0.000523346239219006
"15",15,0.00780772357976559,-0.000558937988143318
"16",16,0.0101597448431376,-0.000776865408782117
"17",17,0.00783400061075391,-0.000604858743254382
"18",18,0.00734756843481268,-0.000636936519337306
"19",19,0.00854159079847161,-0.000598263482050909
"20",20,0.00811114555494258,-0.000567435826332855
"21",21,0.00996711986889167,-0.000670340447091701
"22",22,0.00851246353359154,-0.000714548419866424
"23",23,0.00648230208957804,-0.000428969877731587
"24",24,0.0105065718275245,-0.000772544513675828
"25",25,0.00743798176426956,-0.000525519429394427
"26",26,0.0082072976735003,-0.000765901605443
"27",27,0.00608968205129771,-0.000486728859595672
"28",28,0.00822805654905706,-0.000482175535024253
"29",29,0.00789823987924778,-0.000534449397629601
"30",30,0.00734618060755643,-0.000421361693366627
"31",31,0.00900164763351562,-0.000633346453319877
"32",32,0.00800233798372117,-0.000555486635805249
"33",33,0.0107029734000334,-0.000857063884869066
"34",34,0.00926569670779459,-0.000710597815707256
"35",35,0.00744802121157899,-0.000606528603992479
"36",36,0.00663074790910293,-0.000429539791675744
"37",37,0.00825911631509312,-0.000415050335724886
"38",38,0.00819398993405743,-0.000544647571440476
"39",39,0.00928309434580418,-0.000658860666086728
"40",40,0.00985092729344457,-0.000859481194810685
"41",41,0.0109527883863801,-0.00102268152605575
"42",42,0.00528966658499815,-0.000346145003623544
"43",43,0.0110844247093471,-0.00072632021793616
"44",44,0.00958579280650442,-0.000666605654669363
"45",45,0.00764520159142478,-0.000603690530703911
"46",46,0.0110240272571924,-0.000760403954546844
"47",47,0.00925997037567417,-0.000589932204465285
"48",48,0.00675571029585506,-0.00053748592092856
"49",49,0.00770534568982399,-0.000573566029894491
"50",50,0.00830054085380554,-0.000582188089607477
"51",51,0.0111118923118823,-0.000839723958746357
"52",52,0.00946566015863836,-0.000678499343212472
"53",53,0.0102091138650198,-0.000691268645906687
"54",54,0.00880036921068113,-0.000617228431164419
"55",55,0.00840912918137318,-0.00064573303727717
"56",56,0.0095886120482468,-0.000790067257644829
"57",57,0.00802688778668787,-0.00064418879992882
"58",58,0.0100242251642372,-0.000831612831841645
"59",59,0.00994488840299916,-0.000738331522711045
"60",60,0.00823271720225218,-0.00056734137869101
"61",61,0.00825743428851213,-0.000590729334423421
"62",62,0.00881602273315234,-0.000533320983887999
"63",63,0.00786540267830944,-0.000640694794959422
"64",64,0.0096355309239853,-0.00079922410091239
"65",65,0.00642000001820627,-0.000565211038198384
"66",66,0.00790275469354024,-0.000535275910761308
"67",67,0.0108679866282517,-0.000768416370421628
"68",68,0.00798730444194662,-0.000492642770365481
"69",69,0.0102986354523888,-0.000731160999329502
"70",70,0.00913133865399515,-0.00067112974512356
"71",71,0.00717829774269875,-0.000448305836869417
"72",72,0.005703216497278,-0.000548702911112808
"73",73,0.0072409651833975,-0.000555626101732149
"74",74,0.00889431722048159,-0.000617305452229367
"75",75,0.00915780552938576,-0.000632600109490678
"76",76,0.0069597075431376,-0.000447824606405691
"77",77,0.00943094155854102,-0.000767410603946259
"78",78,0.010449280044532,-0.000756568949766966
"79",79,0.00946709018025987,-0.000781348347563574
"80",80,0.0116679634988318,-0.000878109104443501
"81",81,0.00979805560438784,-0.000664078246485485
"82",82,0.00904287196862545,-0.000730997546651716
"83",83,0.00849310979482199,-0.000637787846814614
"84",84,0.0096587937701578,-0.000766511714293421
"85",85,0.00822391873105744,-0.000564008236220713
"86",86,0.0121814992681955,-0.000945290681368086
"87",87,0.00891017546511967,-0.000730536238527376
"88",88,0.00741033374403103,-0.000477144745355868
"89",89,0.00993330535039437,-0.000675627041176609
"90",90,0.00732899335489265,-0.000515383228195336
"91",91,0.0096987274999913,-0.000742858123516312
"92",92,0.0085380512543818,-0.00053910119542198
"93",93,0.00786391598986323,-0.000535638653174562
"94",94,0.00728100895197817,-0.000432629205772862
"95",95,0.00811289694178535,-0.000474355499699739
"96",96,0.00940215995666744,-0.000657492217973547
"97",97,0.00891428156784311,-0.000570029279789917
"98",98,0.0106513374612195,-0.000762388637084906
"99",99,0.00793503891569994,-0.000518630737220179
"100",100,0.00900061113835275,-0.000656618772117607
"101",101,0.0070901397192714,-0.000521724556216509
"102",102,0.00710832428369074,-0.000463185995188004
"103",103,0.0108880964628203,-0.000849816067854791
"104",104,0.00846574026246854,-0.000586193849185847
"105",105,0.0102047302694799,-0.000795022741984217
"106",106,0.0108184169685249,-0.000830505734437836
"107",107,0.00898402875388563,-0.00067117570369546
"108",108,0.0102681816595816,-0.000776774667849111
"109",109,0.00920955544464975,-0.000579363697672688
"110",110,0.00912154798626682,-0.00066240300643087
"111",111,0.00930298146082027,-0.000715276026635687
"112",112,0.0105614665533217,-0.000890746666661836
"113",113,0.00766005557007682,-0.000632551734262875
"114",114,0.00628045096071313,-0.000475583456511846
"115",115,0.00946424998437763,-0.000800795869003751
"116",116,0.00815023189841871,-0.00061481058418363
