"","boot","coef_var","coef_interact"
"1",1,-0.120362289413381,0.00229598889320426
"2",2,-0.130758487907184,0.00255377689957398
"3",3,-0.119284995109457,0.00266959849767244
"4",4,-0.074966293525668,0.000847524051582958
"5",5,-0.115708716930251,0.00238978114439624
"6",6,-0.126650075822249,0.00267809404782194
"7",7,-0.131028179979628,0.00275337076405614
"8",8,-0.09828621564068,0.00138385113953259
"9",9,-0.130204511592534,0.00239532363014103
"10",10,-0.131655608961275,0.00278285225707038
"11",11,-0.119187071488881,0.00237605798195685
"12",12,-0.102176222981263,0.00196328261680328
"13",13,-0.11232451417951,0.00172997364145428
"14",14,-0.121786325207956,0.00258825358265619
"15",15,-0.0960587324706133,0.00168513545969619
"16",16,-0.138073101008004,0.00291821746302956
"17",17,-0.137720668768475,0.00323468126773824
"18",18,-0.0998888275572263,0.0012834800545638
"19",19,-0.135309751876908,0.00313800161532152
"20",20,-0.121574992541735,0.00240133535062284
"21",21,-0.129012931322137,0.00246868157342156
"22",22,-0.134845418758925,0.00292746528286399
"23",23,-0.132850414585154,0.00282740134777922
"24",24,-0.125928790086044,0.0025756102191352
"25",25,-0.134888782791072,0.00320159336247892
"26",26,-0.139496060961221,0.00340020451377968
"27",27,-0.100346922869866,0.00132991807454881
"28",28,-0.117069877675462,0.00216346991219707
"29",29,-0.134334859721742,0.00308727610860458
"30",30,-0.12391320151562,0.00226382457126605
"31",31,-0.0974840374213272,0.00163991501778687
"32",32,-0.0961534481325713,0.00143225282393662
"33",33,-0.125399621786782,0.00271312532398965
"34",34,-0.10803530684539,0.00205418797671195
"35",35,-0.121286932241475,0.00242229943877337
"36",36,-0.119684708192829,0.00253573538051521
"37",37,-0.119959161735253,0.00264162982620641
"38",38,-0.130503565196987,0.00255311952505009
"39",39,-0.123284846866354,0.00261535654435681
"40",40,-0.153276222637005,0.00345149832082918
"41",41,-0.135718300889823,0.00272523185029204
"42",42,-0.119860049810966,0.00248596955785671
"43",43,-0.133709995447015,0.00299062620551789
"44",44,-0.101551636676901,0.00164266885447837
"45",45,-0.118689453767488,0.00234230507779904
"46",46,-0.137116327742773,0.00294240276696865
"47",47,-0.0953165612701903,0.00127982530667246
"48",48,-0.116458222738487,0.00222242989616604
"49",49,-0.143511092349919,0.00339142324165235
"50",50,-0.126006641245196,0.00257226817619325
"51",51,-0.119186281197598,0.00250137680882351
"52",52,-0.0913128473448377,0.00148157708668419
"53",53,-0.110128090542432,0.00250743837943974
"54",54,-0.11342235679546,0.00258299535637498
"55",55,-0.125718887282519,0.00269977434846841
"56",56,-0.150525351018825,0.00370426166045051
"57",57,-0.118839376339145,0.00222017952703334
"58",58,-0.110546998101322,0.00246580096053717
"59",59,-0.113058115919531,0.00222229348963984
"60",60,-0.139435553908678,0.00319034937881626
"61",61,-0.126021589937874,0.00264757280730256
"62",62,-0.129430000962274,0.00251347170039744
"63",63,-0.11821970363285,0.00248903788221345
"64",64,-0.142570663957835,0.00347245704091028
"65",65,-0.134452159604803,0.00309063293635781
"66",66,-0.117995386904447,0.00204733691643151
"67",67,-0.102140535194162,0.00185652670152421
"68",68,-0.123567638548282,0.00255997134434109
"69",69,-0.124450161468856,0.00243775405471673
"70",70,-0.115743672232015,0.00212016894843683
"71",71,-0.132724529964107,0.00280315194238719
"72",72,-0.123338514873261,0.00269098271220234
"73",73,-0.111151192340112,0.00195716031997728
"74",74,-0.129372114398049,0.00230847286932015
"75",75,-0.115557635975281,0.00254501783801206
"76",76,-0.134846310034822,0.00296549087255713
"77",77,-0.106274867084481,0.00206516263256621
"78",78,-0.118580069641395,0.00235730371207538
"79",79,-0.0988732527825873,0.00163266244093041
"80",80,-0.119648535517674,0.0026405034859781
"81",81,-0.0996643360607315,0.00170632007690942
"82",82,-0.126742035127389,0.00263346970317797
"83",83,-0.110293432423137,0.00212763688299889
"84",84,-0.102735381514404,0.00152747806247844
"85",85,-0.131789706219297,0.00303144894343598
"86",86,-0.136525835760377,0.00294727397295928
"87",87,-0.125966017051161,0.00282300993025044
"88",88,-0.139173904314902,0.00337983908291794
"89",89,-0.118163646038201,0.00226183904091041
"90",90,-0.149647945388904,0.00334535648625604
"91",91,-0.124384530953394,0.00272548878614065
"92",92,-0.151625932927347,0.00355422862737661
"93",93,-0.101380245339714,0.0017563424640438
"94",94,-0.132634362423885,0.00269801549064557
"95",95,-0.117004926993008,0.00252366317647315
"96",96,-0.0947365355377368,0.00154231793869852
"97",97,-0.13098116733074,0.0030449129175363
"98",98,-0.0915210169204296,0.00143112770989214
"99",99,-0.142947561954203,0.00336673272761239
"100",100,-0.121660801172961,0.00262775048021568
"101",101,-0.128058385868508,0.00269791466706254
"102",102,-0.123323050345752,0.00250286379056028
"103",103,-0.112489658893581,0.00206825016923115
"104",104,-0.124258647167108,0.00304939966356273
"105",105,-0.123093898541987,0.00276393521360687
"106",106,-0.119290644974082,0.00297320220991064
"107",107,-0.107987085582469,0.00193860108567748
"108",108,-0.110313632791711,0.00189359562999966
"109",109,-0.0910359736224886,0.0010294905337013
"110",110,-0.129857932508649,0.00310535942554532
"111",111,-0.123422003816979,0.00247781188110312
"112",112,-0.0988282651033633,0.00173010986920631
"113",113,-0.12425996538781,0.00292704700758258
"114",114,-0.11698868451092,0.00258905129392201
"115",115,-0.121045599415635,0.00281377872633023
"116",116,-0.111766593482036,0.00184928594385202
"117",117,-0.118403512933608,0.00252483607493164
"118",118,-0.0967553433325055,0.00133518776504125
"119",119,-0.136538497578936,0.00337399455999563
"120",120,-0.124136808676888,0.00284867722273473
