,id,time,luminosity
150,AFG.7_1,2010,0.05332605538226514
151,AFG.7_1,2011,0.0
152,AFG.7_1,2012,0.0
153,AFG.7_1,2013,0.0
154,AFG.8_1,1992,0.0
155,AFG.8_1,1993,0.0
156,AFG.8_1,1994,0.0
157,AFG.8_1,1995,0.0
158,AFG.8_1,1996,0.0
159,AFG.8_1,1997,0.0
160,AFG.8_1,1998,0.0
161,AFG.8_1,1999,0.0
162,AFG.8_1,2000,5.034857122795675e-06
163,AFG.8_1,2001,0.0
164,AFG.8_1,2002,8.033456852846128e-07
165,AFG.8_1,2003,6.90916261359997e-06
166,AFG.8_1,2004,0.0857159640314511
167,AFG.8_1,2005,0.028582837048346636
168,AFG.8_1,2006,0.0428606955741724
169,AFG.8_1,2007,0.24286378440563625
170,AFG.8_1,2008,0.25715010589142145
171,AFG.8_1,2009,0.17143353462844163
172,AFG.8_1,2010,0.34285982069706566
173,AFG.8_1,2011,0.14286103497137637
174,AFG.8_1,2012,0.22857639177129876
175,AFG.8_1,2013,0.17143246354280495
176,AFG.9_1,1992,0.0
177,AFG.9_1,1993,0.0
178,AFG.9_1,1994,0.0
179,AFG.9_1,1995,0.0
180,AFG.9_1,1996,0.0
181,AFG.9_1,1997,0.0
182,AFG.9_1,1998,0.0
183,AFG.9_1,1999,0.0
184,AFG.9_1,2000,0.0
185,AFG.9_1,2001,0.0
186,AFG.9_1,2002,0.0
187,AFG.9_1,2003,0.0
188,AFG.9_1,2004,0.0
189,AFG.9_1,2005,1.1075823581773278e-05
190,AFG.9_1,2006,0.0
191,AFG.9_1,2007,0.0
192,AFG.9_1,2008,0.0
193,AFG.9_1,2009,0.0
194,AFG.9_1,2010,0.0
195,AFG.9_1,2011,0.0
196,AFG.9_1,2012,0.0
197,AFG.9_1,2013,0.0
198,AFG.10_1,1992,0.0
199,AFG.10_1,1993,0.0
200,AFG.10_1,1994,0.0
201,AFG.10_1,1995,0.0
202,AFG.10_1,1996,0.0
203,AFG.10_1,1997,0.0
204,AFG.10_1,1998,0.0
205,AFG.10_1,1999,0.0
206,AFG.10_1,2000,0.0
207,AFG.10_1,2001,0.0
208,AFG.10_1,2002,0.0
209,AFG.10_1,2003,0.0
210,AFG.10_1,2004,0.0
211,AFG.10_1,2005,0.0
212,AFG.10_1,2006,0.0
213,AFG.10_1,2007,0.0
214,AFG.10_1,2008,0.0
215,AFG.10_1,2009,0.0
216,AFG.10_1,2010,0.0
217,AFG.10_1,2011,0.0
218,AFG.10_1,2012,0.0
219,AFG.10_1,2013,0.0
220,AFG.11_1,1992,0.0
221,AFG.11_1,1993,0.0
222,AFG.11_1,1994,0.0
223,AFG.11_1,1995,0.0
224,AFG.11_1,1996,0.0
225,AFG.11_1,1997,0.0
226,AFG.11_1,1998,0.0
227,AFG.11_1,1999,0.0
228,AFG.11_1,2000,0.0
229,AFG.11_1,2001,0.0
230,AFG.11_1,2002,0.0
231,AFG.11_1,2003,0.03932529877282816
232,AFG.11_1,2004,0.044949727230981625
233,AFG.11_1,2005,0.10674018962244029
234,AFG.11_1,2006,0.07864760593265195
235,AFG.11_1,2007,0.03370743258886782
236,AFG.11_1,2008,0.0
237,AFG.11_1,2009,0.06741308764048845
238,AFG.11_1,2010,0.056178453824020674
239,AFG.11_1,2011,0.10112227415732288
240,AFG.11_1,2012,0.1348217496274984
241,AFG.11_1,2013,0.12359263605352198
242,AFG.12_1,1992,0.0
243,AFG.12_1,1993,0.0444444443449905
244,AFG.12_1,1994,0.05555383823476079
245,AFG.12_1,1995,0.055555340622241475
246,AFG.12_1,1996,0.044444444444444446
247,AFG.12_1,1997,0.038888136622289605
248,AFG.12_1,1998,0.044442942094258996
249,AFG.12_1,1999,0.016664416304022486
250,AFG.12_1,2000,0.027777027607169415
